24-09-10 17:08:09.275 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   pixel_f1 |   pixel_sensitivity |   pixel_specificity |   image_auroc |   image_ap |   image_f1 |
|:-----------|--------------:|--------------:|-----------:|--------------------:|--------------------:|--------------:|-----------:|-----------:|
| carpet     |          98.4 |          95.4 |       57.3 |                68.9 |                98.8 |         100   |      100   |       99.4 |
| bottle     |          82.5 |          78.5 |       51.7 |                47.3 |                97.8 |          88.7 |       96.8 |       90.9 |
| hazelnut   |          96.9 |          93.9 |       48   |                55.1 |                98.4 |          97.2 |       98.5 |       92.6 |
| leather    |          98.7 |          95.1 |       33.6 |                61.6 |                98.7 |          99.8 |       99.9 |       99.5 |
| cable      |          74.2 |          59.9 |       18   |                24.6 |                95.6 |          70.2 |       81.7 |       77.4 |
| capsule    |          93   |          87.6 |       31   |                31.3 |                99.3 |          89.5 |       97.8 |       91.7 |
| grid       |          94.2 |          79.7 |       31.9 |                52.3 |                98.8 |          97.8 |       99.3 |       97.3 |
| pill       |          90.7 |          89.8 |       35.2 |                45   |                96.2 |          81.2 |       95.3 |       92.1 |
| transistor |          66   |          55.7 |       17.6 |                29.1 |                89.8 |          93.9 |       92.1 |       83.7 |
| metal_nut  |          73.2 |          70.8 |       32.8 |                71.2 |                65.1 |          92.4 |       98.2 |       93.7 |
| screw      |          97.2 |          89   |       33.3 |                31.5 |                99.9 |          82   |       92.9 |       88.3 |
| toothbrush |          89.4 |          87.9 |       28.3 |                44.1 |                97.4 |          85.3 |       93.9 |       90   |
| zipper     |          79.3 |          50   |       39.8 |                29.8 |                99.6 |          98.4 |       99.5 |       97.9 |
| tile       |          93.2 |          84.5 |       64.9 |                71.9 |                96.2 |         100   |      100   |      100   |
| wood       |          96.3 |          90   |       55.7 |                66.9 |                97.1 |          96.9 |       99.2 |       96.6 |
| mean       |          88.2 |          80.5 |       38.6 |                48.7 |                95.2 |          91.6 |       96.4 |       92.7 |
