brightness,contrast,saturation,hue,rotation,h_flip,v_flip,pixel_auroc,pixel_aupro,image_auroc,image_ap
0,0,0,0,0,0,0,0.7458629374039742,0.7111312988902603,0.9237536656891495,0.9817850839548088
0,0,0,0,0,0,1,0.7458629428213533,0.7111312229777476,0.9237536656891495,0.9817850839548088
0,0,0,0,0,1,0,0.7458629531079239,0.7111314105757546,0.9237536656891495,0.9817850839548088
0,0,0,0,0,1,1,0.7458629687606361,0.7111310973837738,0.9237536656891495,0.9817850839548088
0,0,0,0,30,0,0,0.7458629652034167,0.7111312950887541,0.9237536656891495,0.9817850839548088
0,0,0,0,30,0,1,0.7458629401465844,0.7111311180417996,0.9237536656891495,0.9817850839548088
0,0,0,0,30,1,0,0.7458629503348698,0.7111310931048082,0.9237536656891495,0.9817850839548088
0,0,0,0,30,1,1,0.7458629612193378,0.711131345172802,0.9237536656891495,0.9817850839548088
0,0,0,0.2,0,0,0,0.7458629470678204,0.7111311126449642,0.9237536656891495,0.9817850839548088
0,0,0,0.2,0,0,1,0.7458629520727427,0.7111312086976169,0.9237536656891495,0.9817850839548088
0,0,0,0.2,0,1,0,0.745862957794584,0.7111313503673325,0.9237536656891495,0.9817850839548088
0,0,0,0.2,0,1,1,0.7458629484952727,0.7111313641217789,0.9237536656891495,0.9817850839548088
0,0,0,0.2,30,0,0,0.7458629504091997,0.711131075108342,0.9237536656891495,0.9817850839548088
0,0,0,0.2,30,0,1,0.7458629614531616,0.7111310049933804,0.9237536656891495,0.9817850839548088
0,0,0,0.2,30,1,0,0.7458629400399099,0.7111311246104252,0.9237536656891495,0.9817850839548088
0,0,0,0.2,30,1,1,0.7458629503174414,0.7111311833467138,0.9237536656891495,0.9817850839548088
0,0,0.5,0,0,0,0,0.7458629642032127,0.7111313041418648,0.9237536656891495,0.9817850839548088
